(mpi)

PROCESSES          8 on Quasar
NUM_GENERATIONS    2000
N                  2048
BOARD              2048/8 -> 256

generation,cells count,elapsed time (ms)
1,1146561,16.6714
2,1063629,13.7908
3,1052114,15.3193
4,1000392,12.4452
5,973468,12.9702
6,938408,14.2767
7,912462,13.3512
8,885234,14.4689
9,863768,12.6479
10,841199,14.9198
11,819314,13.6397
12,801253,12.774
13,784926,16.9539
14,768146,13.4912
15,753437,14.5559
16,738369,13.2849
17,724971,16.5105
18,712831,15.4889
19,701293,16.0577
20,690063,12.3515
21,679783,12.3158
22,668840,15.2018
23,658677,12.0063
24,648044,13.1922
25,639226,12.3293
26,630707,24.1437
27,620848,18.0564
28,612971,13.2215
29,604523,15.2271
30,597966,13.2105
31,589792,14.7398
32,584594,12.8808
33,577653,11.4427
34,572271,12.1765
35,566522,14.0982
36,561412,12.7635
37,556731,12.0435
38,551765,11.945
39,547676,13.2616
40,543316,12.8562
41,539749,11.6334
42,535017,12.4631
43,530683,13.5388
44,527430,12.5277
45,522686,13.391
46,520470,12.0707
47,515585,13.3281
48,511544,12.3699
49,507274,11.7559
50,504246,11.4565
51,500606,14.3614
52,496809,13.8075
53,493950,12.3405
54,490324,10.9084
55,487800,15.0154
56,485332,12.3868
57,483590,13.0179
58,480988,11.0912
59,478696,12.9163
60,475603,11.951
61,473845,14.3077
62,471158,11.4708
63,468246,12.7144
64,467094,11.8024
65,463768,15.3179
66,461191,13.6359
67,457846,11.0676
68,456339,12.0156
69,453929,14.4007
70,451056,12.2206
71,449060,11.0371
72,447261,14.5481
73,444818,12.3417
74,443300,11.9059
75,440550,12.1751
76,438724,13.0768
77,435813,13.1383
78,434963,11.338
79,432346,10.8087
80,430807,13.9725
81,428956,12.4216
82,426726,12.2871
83,425932,11.8639
84,423746,14.2403
85,421983,12.9418
86,419741,13.7808
87,418234,11.3776
88,416522,14.7049
89,415254,12.9809
90,414363,13.411
91,413142,15.0182
92,411147,13.2854
93,409904,17.1349
94,408314,11.2839
95,405788,18.3914
96,404331,12.7609
97,401916,13.5744
98,400485,14.6546
99,398518,14.4863
100,398175,14.8695
101,396624,11.4744
102,395194,14.5943
103,393222,17.323
104,391897,15.7857
105,390669,15.1041
106,389854,13.0637
107,388778,12.1472
108,387539,14.0245
109,386780,14.7641
110,384632,13.1452
111,384157,14.1425
112,381942,12.9952
113,380939,14.77
114,378827,10.9406
115,377773,13.5546
116,376646,15.8136
117,376038,14.962
118,374677,12.4383
119,373302,13.8741
120,371807,17.0708
121,371617,10.8595
122,370302,13.8252
123,370944,16.0611
124,369280,13.9494
125,369288,13.1621
126,368508,10.7121
127,368018,14.1308
128,366624,13.0005
129,366297,12.4757
130,364815,15.1727
131,363747,11.764
132,363787,13.701
133,363161,13.1464
134,362205,14.4711
135,362014,12.9781
136,360521,11.6327
137,360099,13.3255
138,359620,15.1136
139,358138,13.9222
140,358069,15.589
141,356855,17.2117
142,356583,12.9838
143,355416,13.5677
144,355541,13.8464
145,353716,15.9149
146,352370,15.2788
147,351604,14.6327
148,352252,13.0854
149,350197,11.014
150,349918,12.5296
151,349394,15.6825
152,349178,12.8596
153,348003,13.0048
154,347206,11.8334
155,346706,14.6492
156,344591,13.1159
157,344875,13.1872
158,343163,16.8672
159,343032,14.3027
160,341858,11.1208
161,341323,14.3511
162,339637,15.6744
163,338653,13.7968
164,337356,13.5224
165,335471,18.1274
166,333648,13.2036
167,332842,16.0146
168,331350,11.6191
169,330966,14.0328
170,330067,13.1218
171,330250,15.4629
172,329336,12.5384
173,329467,11.3096
174,328202,15.8145
175,328959,14.4346
176,327906,18.3568
177,327607,15.8095
178,327102,15.3244
179,327123,12.5892
180,326473,13.6008
181,327056,10.7529
182,325152,14.0634
183,325075,13.9289
184,323713,14.0054
185,323912,15.168
186,323377,13.9976
187,322605,10.6926
188,322515,13.6139
189,322262,13.5291
190,321195,13.5944
191,320675,11.0571
192,319272,15.0657
193,318449,13.237
194,317726,13.6452
195,318376,14.3743
196,317844,10.8888
197,317708,12.949
198,316458,13.4754
199,316203,14.8311
200,314042,13.433
201,313307,10.5884
202,312655,13.4101
203,312464,14.3518
204,311551,13.139
205,311009,13.0389
206,310527,12.0995
207,310334,14.6701
208,310087,12.7254
209,309457,14.9746
210,308832,13.4034
211,308258,11.8408
212,308236,15.172
213,308142,15.0671
214,308106,12.4443
215,306660,12.6181
216,306633,15.9326
217,307109,11.5421
218,306988,14.3192
219,307020,13.9456
220,306531,15.0001
221,305886,13.1781
222,304737,10.5579
223,304565,13.9141
224,303726,16.4011
225,303713,12.3091
226,303444,14.3921
227,303348,13.0546
228,302869,11.0278
229,302718,12.5177
230,302646,15.5253
231,302379,13.1054
232,302000,10.6969
233,301291,12.8148
234,301301,14.3211
235,300006,13.19
236,300751,13.4125
237,299497,11.168
238,299453,14.6234
239,298272,15.9488
240,298174,12.5511
241,298308,15.3937
242,298139,11.1408
243,296546,15.0721
244,295941,13.6023
245,295016,14.8344
246,295306,12.2044
247,293917,10.9539
248,293737,13.1025
249,293052,14.0827
250,292526,14.3321
